sepal length,sepal width,petal length,petal width,class
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_small,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_normal,sw_big,pl_small,pw_small,Iris-setosa
sl_normal,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_normal,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_normal,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_normal,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_small,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_small,sw_big,pl_small,pw_small,Iris-setosa
sl_small,sw_normal,pl_small,pw_small,Iris-setosa
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_small,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_small,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_small,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_normal,pl_normal,pw_big,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_big,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_big,pw_normal,Iris-versicolor
sl_small,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_big,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_small,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_normal,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_small,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_normal,sw_small,pl_normal,pw_normal,Iris-versicolor
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_normal,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_small,sw_small,pl_normal,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_big,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_normal,sw_small,pl_normal,pw_big,Iris-virginica
sl_normal,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_big,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_normal,sw_small,pl_normal,pw_normal,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_normal,sw_small,pl_normal,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_normal,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_normal,pw_big,Iris-virginica
sl_normal,sw_normal,pl_normal,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_normal,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_big,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_big,pw_normal,Iris-virginica
sl_normal,sw_small,pl_big,pw_normal,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_big,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_normal,sw_normal,pl_normal,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_normal,sw_small,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_small,pl_normal,pw_big,Iris-virginica
sl_big,sw_normal,pl_big,pw_big,Iris-virginica
sl_big,sw_big,pl_big,pw_big,Iris-virginica
sl_normal,sw_normal,pl_big,pw_big,Iris-virginica
